GAMEINIT
  BUILDINGS
    BUILDING_LABEL "E(Building)C(Budova)"
      POWER  0 
      ATTACK  0 
      DEFENSE  115 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-barracks
      TECHNOLOGY 0 
    BUILDING  5 
      NAME "E(Am. workshop)C(Am. dílna)"
      NATION  1 
      KIND  2 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  120 
      POWER  0 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-workshop
      UPGRADED_TO  3 
      TECHNOLOGY 0 
    BUILDING  6 
      NAME "E(Am. factory)C(Am. továrna)"
      NATION  1 
      KIND  3 
      OIL  0 
      SIBERIUM  0 
      CANS  40 
      TIME  120 
      POWER  30 
      ATTACK  0 
      DEFENSE  90 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-factory
      TECHNOLOGY 0 
    BUILDING  7 
      NAME "E(Am. track ext.)C(Am. pásový pøístavek)"
      NATION  1 
      KIND  16 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  30 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-trackext
      TECHNOLOGY 0 
    BUILDING  8 
      NAME "E(Am. gun ext.)C(Am. dìlový pøístavek)"
      NATION  1 
      KIND  17 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  45 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-gunext
      TECHNOLOGY 39 
    BUILDING  9 
      NAME "E(Am. rocket ext.)C(Am. raketový pøístavek)"
      NATION  1 
      KIND  18 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  60 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-rocketext
      TECHNOLOGY 40 
    BUILDING  10 
      NAME "E(Am. non-combat ext.)C(Am. nebojový pøístavek)"
      NATION  1 
      KIND  19 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  30 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-non-combatext
      TECHNOLOGY 0 
    BUILDING  11 
      NAME "E(Am. radar ext.)C(Am. radarový pøístavek)"
      NATION  1 
      KIND  20 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  30 
      POWER  5 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-radarext
      TECHNOLOGY 6 
    BUILDING  12 
      NAME "E(Am. siberite ext.)C(Am. siberitový pøístavek)"
      NATION  1 
      KIND  21 
      OIL  0 
      SIBERIUM  10 
      CANS  30 
      TIME  90 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-siberiumext
      TECHNOLOGY 21 
    BUILDING  15 
      NAME "E(Am. computer ext.)C(Am. poèítaèový pøístavek)"
      NATION  1 
      KIND  24 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  180 
      POWER  10 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-computerext
      TECHNOLOGY 27 
    BUILDING  16 
      NAME "E(Am. laser ext.)C(Am. laserový pøístavek)"
      NATION  1 
      KIND  25 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  90 
      POWER  15 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-laserext
      TECHNOLOGY 10 
    BUILDING  17 
      NAME "E(Am. basic lab)C(Am. základní laboratoø)"
      NATION  1 
      KIND  6 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-bridgebasic
      UPGRADED_TO  7 
      TECHNOLOGY 0 
    BUILDING  18 
      NAME "E(Am. half-upgraded lab)C(Am. èásteènì specializovaná lab.)"
      NATION  1 
      KIND  7 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  20 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-bridgeupg
      TECHNOLOGY 0 
    BUILDING  19 
      NAME "E(Am. fully upgraded lab)C(Am. specializovaná laboratoø)"
      NATION  1 
      KIND  8 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  30 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-bridgeupg
      TECHNOLOGY 0 
    BUILDING  20 
      NAME "E(Am. basic lab)C(Am. základní laboratoø)"
      NATION  1 
      KIND  9 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-basiclab
      TECHNOLOGY 0 
    BUILDING  21 
      NAME "E(Am. weapon lab)C(Am. zbraòová laboratoø)"
      NATION  1 
      KIND  10 
      OIL  0 
      SIBERIUM  0 
      CANS  50 
      TIME  60 
      POWER  20 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-weaponlab
      TECHNOLOGY 0 
    BUILDING  22 
      NAME "E(Am. siberite lab)C(Am. siberiová laboratoø)"
      NATION  1 
      KIND  11 
      OIL  0 
      SIBERIUM  5 
      CANS  30 
      TIME  120 
      POWER  30 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-siberiumlab
      TECHNOLOGY 0 
    BUILDING  23 
      NAME "E(Am. computer lab)C(Am. poèítaèová laboratoø)"
      NATION  1 
      KIND  12 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  120 
      POWER  20 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-computerlab
      TECHNOLOGY 0 
    BUILDING  24 
      NAME "E(Am. opto lab )C(Am. opto lab )"
      NATION  1 
      KIND  15 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  20 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT u-optolab
      TECHNOLOGY 0 
    BUILDING  25 
      NAME "E(Am. oil power plant)C(Am. naftová elektrárna)"
      NATION  1 
      KIND  26 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER -30 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-oilpower
      TECHNOLOGY 46 
    BUILDING  26 
      NAME "E(Am. solar power plant)C(Am. sluneèní elektrárna)"
      NATION  1 
      KIND  27 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  90 
      POWER -15 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-solarpower
      TECHNOLOGY 35 
    BUILDING  27 
      NAME "E(Am. siberite power plant)C(Am. siberiová elektrárna)"
      NATION  1 
      KIND  28 
      OIL  0 
      SIBERIUM  20 
      CANS  20 
      TIME  120 
      POWER -60 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-siberiumpower
      TECHNOLOGY 21 
    BUILDING  28 
      NAME "E(Am. oil drilling tower)C(Am. ropná tìžební vìž)"
      NATION  1 
      KIND  29 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  60 
      HUMANS  0 
      OBSTACLE  0 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-oilmine
      TECHNOLOGY 0 
    BUILDING  29 
      NAME "E(Am. siberite mine)C(Am. siberitový dùl)"
      NATION  1 
      KIND  30 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  45 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT u-siberiummine
      TECHNOLOGY 20 
    BUILDING  30 
      NAME "E(Am. bunker)C(Am. bunkr)"
      NATION  1 
      KIND  31 
      OIL  0 
      SIBERIUM  0 
      CANS  10 
      TIME  30 
      POWER  0 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT u-breastworks
      TECHNOLOGY 0 
    BUILDING  31 
      NAME "E(Am. manual turret)C(Am. obranná vìž)"
      NATION  1 
      KIND  32 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  15 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  1 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT u-bunker
      TECHNOLOGY 0 
    BUILDING  32 
      NAME "E(Am. automatic turret)C(Am. automatická vìž)"
      NATION  1 
      KIND  33 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  120 
      POWER  20 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 7   -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 3   -1 -2  0 -2  1 -1
      IDENT u-automaticturret
      TECHNOLOGY 32 
    BUILDING  94 
      NAME "E(Am. control tower)C(Am. øidicí vìž)"
      NATION  1 
      KIND  36 
      OIL  0 
      SIBERIUM  0 
      CANS  50 
      TIME  120 
      POWER  10 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  3 
      OBSTACLE  0 
      SHAPE 12   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -1 0  0 0  1 0  0 1  1 1
      FLEK_TYPE  1 
      ENTRANCES 2   -2 -3  -1 -3
      IDENT u-ct
      TECHNOLOGY 15 
    BUILDING  33 
      NAME "E(Am. fort)C(Am. pevnost)"
      NATION  1 
      KIND  35 
      OIL  0 
      SIBERIUM  0 
      CANS  1000 
      TIME  600 
      POWER  0 
      ATTACK 0 ATTACK_VLADA MINMAX_RANGE 1 11  DAMAGE 20 20 20  FREQUENCY 40 60  EFF 30 10 6  ANIM 2 1 2 END_OF_ATTACK
      DEFENSE  150 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-barracks
      TECHNOLOGY 0 
    BUILDING  95 
      NAME "E(Am. EON)C(Am. EON)"
      NATION  1 
      KIND  38 
      OIL  1000 
      SIBERIUM  1000 
      CANS  1000 
      TIME  600 
      POWER  0 
      ATTACK  0 
      DEFENSE  1500 
      HUMANS  1 
      OBSTACLE  0 
      SHAPE 6   -1 -1  0 -1  -1 0  0 0  1 0  1 1
      FLEK_TYPE  1 
      ENTRANCES 1   0 1
      IDENT u-eon
      TECHNOLOGY 0 
    BUILDING  96 
      NAME "E(Am. Alien building)C(Am. Mimozemská budova)"
      NATION  1 
      KIND  39 
      OIL  1000 
      SIBERIUM  1000 
      CANS  1000 
      TIME  600 
      POWER  0 
      ATTACK  0 
      DEFENSE  1500 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 6   -1 -1  0 -1  -1 0  0 0  1 0  1 1
      FLEK_TYPE  1 
      ENTRANCES 1   0 1
      IDENT u-alien
      TECHNOLOGY 0 
    BUILDING  34 
      NAME "E(Ar. depot)C(Ar. skladištì)"
      NATION  2 
      KIND  0 
      OIL  0 
      SIBERIUM  0 
      CANS  0 
      TIME  140 
      POWER  0 
      ATTACK  0 
      DEFENSE  80 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-depot
      UPGRADED_TO  1 
      TECHNOLOGY 0 
    BUILDING  35 
      NAME "E(Ar. warehouse)C(Ar. velkosklad)"
      NATION  2 
      KIND  1 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  135 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-warehouse
      TECHNOLOGY 0 
    BUILDING  36 
      NAME "E(Ar. armoury)C(Ar. zbrojnice)"
      NATION  2 
      KIND  4 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  70 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-armoury
      UPGRADED_TO  5 
      TECHNOLOGY 0 
    BUILDING  37 
      NAME "E(Ar. barracks)C(Ar. kasárna)"
      NATION  2 
      KIND  5 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  30 
      POWER  0 
      ATTACK  0 
      DEFENSE  100 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-barracks
      TECHNOLOGY 0 
    BUILDING  38 
      NAME "E(Ar. workshop)C(Ar. dílna)"
      NATION  2 
      KIND  2 
      OIL  0 
      SIBERIUM  0 
      CANS  35 
      TIME  110 
      POWER  0 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-workshop
      UPGRADED_TO  3 
      TECHNOLOGY 0 
    BUILDING  39 
      NAME "E(Ar. factory)C(Ar. továrna)"
      NATION  2 
      KIND  3 
      OIL  0 
      SIBERIUM  0 
      CANS  35 
      TIME  110 
      POWER  30 
      ATTACK  0 
      DEFENSE  80 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 23   -2 -3  -3 -2  -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  2 -1  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  3 1  -1 2  0 2  1 2  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT a-factory
      TECHNOLOGY 0 
    BUILDING  40 
      NAME "E(Ar. track ext.)C(Ar. pásový pøístavek)"
      NATION  2 
      KIND  16 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  30 
      POWER  5 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-trackext
      TECHNOLOGY 0 
    BUILDING  41 
      NAME "E(Ar. gun ext.)C(Ar. dìlový pøístavek)"
      NATION  2 
      KIND  17 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  40 
      POWER  5 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-gunext
      TECHNOLOGY 39 
    BUILDING  42 
      NAME "E(Ar. rocket ext.)C(Ar. raketový pøístavek)"
      NATION  2 
      KIND  18 
      OIL  0 
      SIBERIUM  0 
      CANS  25 
      TIME  55 
      POWER  5 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-rocketext
      TECHNOLOGY 40 
    BUILDING  44 
      NAME "E(Ar. radar ext.)C(Ar. radarový pøístavek)"
      NATION  2 
      KIND  20 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  30 
      POWER  5 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-radarext
      TECHNOLOGY 6 
    BUILDING  45 
      NAME "E(Ar. siberite ext.)C(Ar. siberitový pøístavek)"
      NATION  2 
      KIND  21 
      OIL  0 
      SIBERIUM  10 
      CANS  25 
      TIME  85 
      POWER  10 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-siberiumext
      TECHNOLOGY 21 
    BUILDING  43 
      NAME "E(Ar. container ext.)C(Ar. kontejnerový pøístavek)"
      NATION  2 
      KIND  23 
      OIL  0 
      SIBERIUM  0 
      CANS  15 
      TIME  85 
      POWER  5 
      ATTACK  0 
      DEFENSE  35 
      HUMANS  0 
      OBSTACLE  1 
      SHAPE 9   -2 -1  -1 -1  0 -1  -1 0  0 0  1 0  0 1  1 1  2 1
      FLEK_TYPE  1 
      ENTRANCES  0 
      IDENT a-non-combatext
      TECHNOLOGY 0 
    BUILDING  48 
      NAME "E(Ar. basic lab)C(Ar. základní laboratoø)"
      NATION  2 
      KIND  6 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  0 
      ATTACK  0 
      DEFENSE  40 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 29   -3 -3  -2 -3  -3 -2  -2 -2  -1 -2  -3 -1  -2 -1  -1 -1  0 -1  1 -1  2 -1  -3 0  -2 0  -1 0  0 0  1 0  2 0  3 0  -2 1  -1 1  0 1  1 1  2 1  3 1  1 2  2 2  3 2  2 3  3 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -2  1 -2
      IDENT a-bridgebasic
      UPGRADED_TO  7 
      TECHNOLOGY 0 
    BUILDING  49 
      NAME "E(Ar. half-upgraded lab)C(Ar. èásteènì specializovaná lab.)"
      NATION  2 
      KIND  7 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  55 
      POWER  20 
      ATTACK  0 
      DEFENSE  55 
      HUMANS  6 
      OBSTACLE  0 
